Drone_ID,X (m),Y (m),Z (m)
1,1809.5,-171.5,0
2,833.0,-63.0,0
3,1841.0,-42.0,0
4,-1246.0,-42.0,0
5,-2383.5,24.5,0
6,441.0,444.5,0
7,2075.5,269.5,0
8,1316.0,175.0,0
9,2061.5,346.5,0
10,1239.0,-129.5,0
11,392.0,-52.5,0
12,-420.0,147.0,0
13,647.5,476.0,0
14,-1039.5,224.0,0
15,2191.0,80.5,0
16,721.0,451.5,0
17,-745.5,434.0,0
18,1305.5,290.5,0
19,1183.0,63.0,0
20,-1400.0,84.0,0
21,-1347.5,-59.5,0
22,1253.0,532.0,0
23,1596.0,-150.5,0
24,2033.5,539.0,0
25,-416.5,213.5,0
26,-2334.5,59.5,0
27,-1449.0,329.0,0
28,2058.0,84.0,0
29,1382.5,458.5,0
30,-521.5,217.0,0
31,-616.0,-77.0,0
32,1218.0,511.0,0
33,-458.5,101.5,0
34,-1820.0,399.0,0
35,434.0,-80.5,0
36,1155.0,280.0,0
37,-682.5,101.5,0
38,-2292.5,185.5,0
39,-584.5,178.5,0
40,-1319.5,427.0,0
41,924.0,-3.5,0
42,-395.5,448.0,0
43,-458.5,465.5,0
44,1900.5,-150.5,0
45,1834.0,-112.0,0
46,-1536.5,381.5,0
47,1533.0,-164.5,0
48,-1921.5,532.0,0
49,1949.5,-101.5,0
50,-539.0,171.5,0
51,-2040.5,129.5,0
52,-1186.5,-21.0,0
53,-444.5,-185.5,0
54,2250.5,-122.5,0
55,1158.5,105.0,0
56,-444.5,175.0,0
57,1274.0,269.5,0
58,2019.5,514.5,0
59,-1281.0,3.5,0
60,1400.0,535.5,0
61,-1855.0,437.5,0
62,-1844.5,287.0,0
63,-553.0,-150.5,0
64,812.0,346.5,0
65,-738.5,273.0,0
66,472.5,-80.5,0
67,-490.0,143.5,0
68,-2019.5,245.0,0
69,1158.5,423.5,0
70,1323.0,-35.0,0
71,2159.5,196.0,0
72,-724.5,402.5,0
73,1221.5,178.5,0
74,385.0,343.0,0
75,1547.0,178.5,0
76,465.5,430.5,0
77,812.0,-157.5,0
78,-2376.5,507.5,0
79,1158.5,28.0,0
80,-2250.5,112.0,0
81,-1214.5,-108.5,0
82,-1169.0,126.0,0
83,-1298.5,-94.5,0
84,1669.5,560.0,0
85,679.0,570.5,0
86,-1515.5,94.5,0
87,826.0,322.0,0
88,-1932.0,199.5,0
89,2299.5,-94.5,0
90,-385.0,-115.5,0
91,1176.0,143.5,0
92,-637.0,381.5,0
93,805.0,-108.5,0
94,-801.5,140.0,0
95,1417.5,-136.5,0
96,-497.0,539.0,0
97,-689.5,570.5,0
98,1368.5,567.0,0
99,1459.5,161.0,0
100,395.5,269.5,0
101,-490.0,189.0,0
102,-773.5,486.5,0
103,1169.0,-35.0,0
104,2019.5,17.5,0
105,-2191.0,507.5,0
106,-742.0,87.5,0
107,819.0,486.5,0
108,346.5,101.5,0
109,-399.0,500.5,0
110,2009.0,126.0,0
111,350.0,119.0,0
112,-752.5,343.0,0
113,-2198.0,525.0,0
114,-616.0,399.0,0
115,-752.5,-73.5,0
116,-1974.0,273.0,0
117,1256.5,378.0,0
118,-1970.5,-178.5,0
119,-332.5,574.0,0
120,-1655.5,507.5,0
121,773.5,472.5,0
122,2436.0,-115.5,0
123,1379.0,213.5,0
124,-1879.5,182.0,0
125,-1988.0,399.0,0
126,-441.0,-171.5,0
127,-1141.0,66.5,0
128,-2373.0,49.0,0
129,-266.0,560.0,0
130,1312.5,451.5,0
131,535.5,542.5,0
132,1172.5,-35.0,0
133,371.0,122.5,0
134,-1347.5,406.0,0
135,-990.5,448.0,0
136,-1456.0,-3.5,0
137,-392.0,171.5,0
138,-2058.0,507.5,0
139,-2327.5,185.5,0
140,-574.0,-171.5,0
141,-1116.5,28.0,0
142,-392.0,122.5,0
143,-437.5,-73.5,0
144,1610.0,203.0,0
145,-2110.5,-133.0,0
146,-1904.0,-80.5,0
147,2121.0,392.0,0
148,-784.0,444.5,0
149,-668.5,238.0,0
150,854.0,-70.0,0
151,-1431.5,-87.5,0
152,332.5,294.0,0
153,283.5,3.5,0
154,1788.5,-178.5,0
155,2138.5,402.5,0
156,-997.5,500.5,0
157,2135.0,77.0,0
158,1466.5,-161.0,0
159,1291.5,157.5,0
160,-2082.5,444.5,0
161,-1470.0,402.5,0
162,1543.5,248.5,0
163,763.0,406.0,0
164,-616.0,311.5,0
165,353.5,77.0,0
166,1130.5,476.0,0
167,-1204.0,-150.5,0
168,-406.0,-126.0,0
169,-770.0,553.0,0
170,-1032.5,332.5,0
171,798.0,220.5,0
172,-1515.5,164.5,0
173,-2387.0,455.0,0
174,2201.5,112.0,0
175,1942.5,-143.5,0
176,-371.0,115.5,0
177,-479.5,129.5,0
