Drone_ID,X (m),Y (m),Z (m)
1,-444.0,-46.0,0.0
2,-438.0,-46.0,0.0
3,-432.0,-46.0,0.0
4,-426.0,-46.0,0.0
5,-420.0,-46.0,0.0
6,-414.0,-46.0,0.0
7,-347.0,-46.0,0.0
8,-341.0,-46.0,0.0
9,-335.0,-46.0,0.0
10,-329.0,-46.0,0.0
11,-323.0,-46.0,0.0
12,-317.0,-46.0,0.0
13,-125.0,-46.0,0.0
14,-119.0,-46.0,0.0
15,-113.0,-46.0,0.0
16,-107.0,-46.0,0.0
17,-101.0,-46.0,0.0
18,-95.0,-46.0,0.0
19,-442.0,-41.0,0.0
20,-412.0,-41.0,0.0
21,-349.0,-41.0,0.0
22,-319.0,-40.0,0.0
23,-125.0,-40.0,0.0
24,-95.0,-40.0,0.0
25,-440.0,-36.0,0.0
26,-410.0,-36.0,0.0
27,-351.0,-36.0,0.0
28,-321.0,-35.0,0.0
29,-125.0,-34.0,0.0
30,-95.0,-34.0,0.0
31,-438.0,-31.0,0.0
32,-408.0,-31.0,0.0
33,-353.0,-31.0,0.0
34,-323.0,-30.0,0.0
35,-125.0,-28.0,0.0
36,-95.0,-28.0,0.0
37,-436.0,-26.0,0.0
38,-406.0,-26.0,0.0
39,-355.0,-25.0,0.0
40,-325.0,-24.0,0.0
41,-125.0,-22.0,0.0
42,-95.0,-22.0,0.0
43,-434.0,-21.0,0.0
44,-404.0,-21.0,0.0
45,-357.0,-19.0,0.0
46,-327.0,-19.0,0.0
47,137.0,-17.0,0.0
48,143.0,-17.0,0.0
49,149.0,-17.0,0.0
50,272.0,-17.0,0.0
51,278.0,-17.0,0.0
52,364.0,-17.0,0.0
53,370.0,-17.0,0.0
54,-432.0,-16.0,0.0
55,-402.0,-16.0,0.0
56,-125.0,-16.0,0.0
57,-95.0,-16.0,0.0
58,130.0,-16.0,0.0
59,155.0,-16.0,0.0
60,284.0,-16.0,0.0
61,376.0,-16.0,0.0
62,-307.0,-15.0,0.0
63,-301.0,-15.0,0.0
64,-295.0,-15.0,0.0
65,-289.0,-15.0,0.0
66,-283.0,-15.0,0.0
67,-243.0,-15.0,0.0
68,-237.0,-15.0,0.0
69,-231.0,-15.0,0.0
70,-225.0,-15.0,0.0
71,-219.0,-15.0,0.0
72,-20.0,-15.0,0.0
73,-14.0,-15.0,0.0
74,-8.0,-15.0,0.0
75,-2.0,-15.0,0.0
76,4.0,-15.0,0.0
77,44.0,-15.0,0.0
78,50.0,-15.0,0.0
79,56.0,-15.0,0.0
80,62.0,-15.0,0.0
81,68.0,-15.0,0.0
82,161.0,-15.0,0.0
83,217.0,-15.0,0.0
84,223.0,-15.0,0.0
85,229.0,-15.0,0.0
86,235.0,-15.0,0.0
87,241.0,-15.0,0.0
88,264.0,-15.0,0.0
89,290.0,-15.0,0.0
90,356.0,-15.0,0.0
91,382.0,-15.0,0.0
92,400.0,-15.0,0.0
93,406.0,-15.0,0.0
94,412.0,-15.0,0.0
95,418.0,-15.0,0.0
96,424.0,-15.0,0.0
97,-359.0,-14.0,0.0
98,123.0,-14.0,0.0
99,-329.0,-13.0,0.0
100,-278.0,-13.0,0.0
101,9.0,-13.0,0.0
102,166.0,-13.0,0.0
103,246.0,-13.0,0.0
104,295.0,-13.0,0.0
105,387.0,-13.0,0.0
106,429.0,-13.0,0.0
107,118.0,-12.0,0.0
108,258.0,-12.0,0.0
109,350.0,-12.0,0.0
110,-400.0,-11.0,0.0
111,-215.0,-11.0,0.0
112,72.0,-11.0,0.0
113,171.0,-11.0,0.0
114,-431.0,-10.0,0.0
115,-125.0,-10.0,0.0
116,-95.0,-10.0,0.0
117,-307.0,-9.0,0.0
118,-243.0,-9.0,0.0
119,-20.0,-9.0,0.0
120,44.0,-9.0,0.0
121,113.0,-9.0,0.0
122,176.0,-9.0,0.0
123,217.0,-9.0,0.0
124,299.0,-9.0,0.0
125,391.0,-9.0,0.0
126,400.0,-9.0,0.0
127,-361.0,-8.0,0.0
128,-331.0,-8.0,0.0
129,253.0,-8.0,0.0
130,345.0,-8.0,0.0
131,-278.0,-7.0,0.0
132,9.0,-7.0,0.0
133,246.0,-7.0,0.0
134,429.0,-7.0,0.0
135,-429.0,-5.0,0.0
136,-399.0,-5.0,0.0
137,-215.0,-5.0,0.0
138,72.0,-5.0,0.0
139,108.0,-5.0,0.0
140,180.0,-5.0,0.0
141,303.0,-5.0,0.0
142,395.0,-5.0,0.0
143,-125.0,-4.0,0.0
144,-95.0,-4.0,0.0
145,341.0,-4.0,0.0
146,-363.0,-3.0,0.0
147,-333.0,-3.0,0.0
148,-307.0,-3.0,0.0
149,-243.0,-3.0,0.0
150,-20.0,-3.0,0.0
151,44.0,-3.0,0.0
152,217.0,-3.0,0.0
153,400.0,-3.0,0.0
154,248.0,-2.0,0.0
155,-278.0,-1.0,0.0
156,9.0,-1.0,0.0
157,104.0,-1.0,0.0
158,184.0,-1.0,0.0
159,429.0,-1.0,0.0
160,-427.0,0.0,0.0
161,-397.0,0.0,0.0
162,305.0,0.0,0.0
163,-215.0,1.0,0.0
164,72.0,1.0,0.0
165,338.0,1.0,0.0
166,-125.0,2.0,0.0
167,-95.0,2.0,0.0
168,-365.0,3.0,0.0
169,-335.0,3.0,0.0
170,-307.0,3.0,0.0
171,-243.0,3.0,0.0
172,-20.0,3.0,0.0
173,44.0,3.0,0.0
174,139.0,3.0,0.0
175,145.0,3.0,0.0
176,188.0,3.0,0.0
177,217.0,3.0,0.0
178,375.0,3.0,0.0
179,381.0,3.0,0.0
180,101.0,4.0,0.0
181,151.0,4.0,0.0
182,261.0,4.0,0.0
183,267.0,4.0,0.0
184,387.0,4.0,0.0
185,-425.0,5.0,0.0
186,-395.0,5.0,0.0
187,-278.0,5.0,0.0
188,9.0,5.0,0.0
189,134.0,5.0,0.0
190,273.0,5.0,0.0
191,307.0,5.0,0.0
192,370.0,5.0,0.0
193,429.0,5.0,0.0
194,156.0,6.0,0.0
195,256.0,6.0,0.0
196,335.0,6.0,0.0
197,392.0,6.0,0.0
198,-215.0,7.0,0.0
199,72.0,7.0,0.0
200,-367.0,8.0,0.0
201,-337.0,8.0,0.0
202,-125.0,8.0,0.0
203,-95.0,8.0,0.0
204,190.0,8.0,0.0
205,-307.0,9.0,0.0
206,-243.0,9.0,0.0
207,-20.0,9.0,0.0
208,44.0,9.0,0.0
209,98.0,9.0,0.0
210,130.0,9.0,0.0
211,217.0,9.0,0.0
212,277.0,9.0,0.0
213,366.0,9.0,0.0
214,-423.0,10.0,0.0
215,-393.0,10.0,0.0
216,160.0,10.0,0.0
217,252.0,10.0,0.0
218,-278.0,11.0,0.0
219,9.0,11.0,0.0
220,308.0,11.0,0.0
221,333.0,11.0,0.0
222,395.0,11.0,0.0
223,429.0,11.0,0.0
224,-215.0,13.0,0.0
225,72.0,13.0,0.0
226,192.0,13.0,0.0
227,-369.0,14.0,0.0
228,-339.0,14.0,0.0
229,-125.0,14.0,0.0
230,-95.0,14.0,0.0
231,96.0,14.0,0.0
232,127.0,14.0,0.0
233,279.0,14.0,0.0
234,363.0,14.0,0.0
235,-421.0,15.0,0.0
236,-391.0,15.0,0.0
237,-307.0,15.0,0.0
238,-243.0,15.0,0.0
239,-20.0,15.0,0.0
240,44.0,15.0,0.0
241,162.0,15.0,0.0
242,217.0,15.0,0.0
243,248.0,15.0,0.0
244,398.0,16.0,0.0
245,-278.0,17.0,0.0
246,9.0,17.0,0.0
247,309.0,17.0,0.0
248,332.0,17.0,0.0
249,429.0,17.0,0.0
250,194.0,18.0,0.0
251,-341.0,19.0,0.0
252,-215.0,19.0,0.0
253,72.0,19.0,0.0
254,125.0,19.0,0.0
255,361.0,19.0,0.0
256,-419.0,20.0,0.0
257,-389.0,20.0,0.0
258,-371.0,20.0,0.0
259,-125.0,20.0,0.0
260,-95.0,20.0,0.0
261,95.0,20.0,0.0
262,164.0,20.0,0.0
263,280.0,20.0,0.0
264,-307.0,21.0,0.0
265,-243.0,21.0,0.0
266,-20.0,21.0,0.0
267,44.0,21.0,0.0
268,217.0,21.0,0.0
269,247.0,21.0,0.0
270,400.0,21.0,0.0
271,-278.0,23.0,0.0
272,9.0,23.0,0.0
273,309.0,23.0,0.0
274,331.0,23.0,0.0
275,429.0,23.0,0.0
276,-343.0,24.0,0.0
277,194.0,24.0,0.0
278,-417.0,25.0,0.0
279,-373.0,25.0,0.0
280,-215.0,25.0,0.0
281,72.0,25.0,0.0
282,124.0,25.0,0.0
283,360.0,25.0,0.0
284,-388.0,26.0,0.0
285,-125.0,26.0,0.0
286,-95.0,26.0,0.0
287,94.0,26.0,0.0
288,165.0,26.0,0.0
289,280.0,26.0,0.0
290,-307.0,27.0,0.0
291,-243.0,27.0,0.0
292,-20.0,27.0,0.0
293,44.0,27.0,0.0
294,217.0,27.0,0.0
295,246.0,27.0,0.0
296,400.0,27.0,0.0
297,-278.0,29.0,0.0
298,9.0,29.0,0.0
299,309.0,29.0,0.0
300,331.0,29.0,0.0
301,429.0,29.0,0.0
302,-415.0,30.0,0.0
303,-345.0,30.0,0.0
304,195.0,30.0,0.0
305,-386.0,31.0,0.0
306,-375.0,31.0,0.0
307,-215.0,31.0,0.0
308,72.0,31.0,0.0
309,124.0,31.0,0.0
310,360.0,31.0,0.0
311,-125.0,32.0,0.0
312,-95.0,32.0,0.0
313,94.0,32.0,0.0
314,165.0,32.0,0.0
315,280.0,32.0,0.0
316,-307.0,33.0,0.0
317,-244.0,33.0,0.0
318,-20.0,33.0,0.0
319,43.0,33.0,0.0
320,217.0,33.0,0.0
321,246.0,33.0,0.0
322,400.0,33.0,0.0
323,-347.0,35.0,0.0
324,-278.0,35.0,0.0
325,9.0,35.0,0.0
326,309.0,35.0,0.0
327,331.0,35.0,0.0
328,429.0,35.0,0.0
329,-414.0,36.0,0.0
330,-384.0,36.0,0.0
331,-377.0,36.0,0.0
332,195.0,36.0,0.0
333,-215.0,37.0,0.0
334,72.0,37.0,0.0
335,124.0,37.0,0.0
336,361.0,37.0,0.0
337,-125.0,38.0,0.0
338,-95.0,38.0,0.0
339,95.0,38.0,0.0
340,165.0,38.0,0.0
341,280.0,38.0,0.0
342,-307.0,39.0,0.0
343,-244.0,39.0,0.0
344,-20.0,39.0,0.0
345,43.0,39.0,0.0
346,217.0,39.0,0.0
347,246.0,39.0,0.0
348,399.0,39.0,0.0
349,-349.0,40.0,0.0
350,-412.0,41.0,0.0
351,-382.0,41.0,0.0
352,-278.0,41.0,0.0
353,9.0,41.0,0.0
354,309.0,41.0,0.0
355,332.0,41.0,0.0
356,429.0,41.0,0.0
357,194.0,42.0,0.0
358,-215.0,43.0,0.0
359,72.0,43.0,0.0
360,125.0,43.0,0.0
361,362.0,43.0,0.0
362,-246.0,44.0,0.0
363,-125.0,44.0,0.0
364,-95.0,44.0,0.0
365,41.0,44.0,0.0
366,96.0,44.0,0.0
367,163.0,44.0,0.0
368,280.0,44.0,0.0
369,-307.0,45.0,0.0
370,-20.0,45.0,0.0
371,217.0,45.0,0.0
372,246.0,45.0,0.0
373,397.0,45.0,0.0
374,-410.0,46.0,0.0
375,-351.0,46.0,0.0
376,-277.0,47.0,0.0
377,10.0,47.0,0.0
378,192.0,47.0,0.0
379,309.0,47.0,0.0
380,333.0,47.0,0.0
381,429.0,47.0,0.0
382,127.0,48.0,0.0
383,364.0,48.0,0.0
384,-248.0,49.0,0.0
385,-215.0,49.0,0.0
386,39.0,49.0,0.0
387,72.0,49.0,0.0
388,161.0,49.0,0.0
389,-125.0,50.0,0.0
390,-95.0,50.0,0.0
391,97.0,50.0,0.0
392,280.0,50.0,0.0
393,394.0,50.0,0.0
394,-408.0,51.0,0.0
395,-353.0,51.0,0.0
396,-306.0,51.0,0.0
397,-19.0,51.0,0.0
398,217.0,51.0,0.0
399,246.0,51.0,0.0
400,-275.0,52.0,0.0
401,12.0,52.0,0.0
402,190.0,52.0,0.0
403,335.0,52.0,0.0
404,368.0,52.0,0.0
405,-252.0,53.0,0.0
406,-90.0,53.0,0.0
407,-84.0,53.0,0.0
408,-78.0,53.0,0.0
409,-72.0,53.0,0.0
410,-66.0,53.0,0.0
411,-60.0,53.0,0.0
412,-54.0,53.0,0.0
413,-48.0,53.0,0.0
414,-42.0,53.0,0.0
415,35.0,53.0,0.0
416,130.0,53.0,0.0
417,309.0,53.0,0.0
418,429.0,53.0,0.0
419,157.0,54.0,0.0
420,388.0,54.0,0.0
421,-215.0,55.0,0.0
422,72.0,55.0,0.0
423,100.0,55.0,0.0
424,373.0,55.0,0.0
425,-406.0,56.0,0.0
426,-271.0,56.0,0.0
427,-259.0,56.0,0.0
428,-125.0,56.0,0.0
429,16.0,56.0,0.0
430,28.0,56.0,0.0
431,135.0,56.0,0.0
432,280.0,56.0,0.0
433,379.0,56.0,0.0
434,-355.0,57.0,0.0
435,-305.0,57.0,0.0
436,-265.0,57.0,0.0
437,-18.0,57.0,0.0
438,22.0,57.0,0.0
439,150.0,57.0,0.0
440,188.0,57.0,0.0
441,217.0,57.0,0.0
442,246.0,57.0,0.0
443,337.0,57.0,0.0
444,-39.0,58.0,0.0
445,140.0,58.0,0.0
446,309.0,59.0,0.0
447,429.0,59.0,0.0
448,103.0,60.0,0.0
449,-404.0,61.0,0.0
450,-215.0,61.0,0.0
451,72.0,61.0,0.0
452,341.0,61.0,0.0
453,398.0,61.0,0.0
454,-357.0,62.0,0.0
455,-303.0,62.0,0.0
456,-125.0,62.0,0.0
457,-16.0,62.0,0.0
458,184.0,62.0,0.0
