Drone_ID,X (m),Y (m),Z (m)
1,-30.0,0.0,0.0
2,-27.0,0.0,0.0
3,-24.0,0.0,0.0
4,-21.0,0.0,0.0
5,-18.0,0.0,0.0
6,-15.0,0.0,0.0
7,-12.0,0.0,0.0
8,-9.0,0.0,0.0
9,-6.0,0.0,0.0
10,-3.0,0.0,0.0
11,0.0,0.0,0.0
12,3.0,0.0,0.0
13,6.0,0.0,0.0
14,9.0,0.0,0.0
15,12.0,0.0,0.0
16,15.0,0.0,0.0
17,18.0,0.0,0.0
18,21.0,0.0,0.0
19,24.0,0.0,0.0
20,27.0,0.0,0.0
21,30.0,0.0,0.0
22,30.0,3.08,0.0
23,30.0,6.15,0.0
24,30.0,9.23,0.0
25,30.0,12.31,0.0
26,30.0,15.38,0.0
27,30.0,18.46,0.0
28,30.0,21.54,0.0
29,30.0,24.62,0.0
30,30.0,27.69,0.0
31,30.0,30.77,0.0
32,30.0,33.85,0.0
33,30.0,36.92,0.0
34,30.0,40.0,0.0
35,27.0,40.0,0.0
36,24.0,40.0,0.0
37,21.0,40.0,0.0
38,18.0,40.0,0.0
39,15.0,40.0,0.0
40,12.0,40.0,0.0
41,9.0,40.0,0.0
42,6.0,40.0,0.0
43,3.0,40.0,0.0
44,0.0,40.0,0.0
45,-3.0,40.0,0.0
46,-6.0,40.0,0.0
47,-9.0,40.0,0.0
48,-12.0,40.0,0.0
49,-15.0,40.0,0.0
50,-18.0,40.0,0.0
51,-21.0,40.0,0.0
52,-24.0,40.0,0.0
53,-27.0,40.0,0.0
54,-30.0,40.0,0.0
55,-30.0,36.92,0.0
56,-30.0,33.85,0.0
57,-30.0,30.77,0.0
58,-30.0,27.69,0.0
59,-30.0,24.62,0.0
60,-30.0,21.54,0.0
61,-30.0,18.46,0.0
62,-30.0,15.38,0.0
63,-30.0,12.31,0.0
64,-30.0,9.23,0.0
65,-30.0,6.15,0.0
66,-30.0,3.08,0.0
67,-35.0,40.0,0.0
68,-32.67,42.0,0.0
69,-30.33,44.0,0.0
70,-28.0,46.0,0.0
71,-25.67,48.0,0.0
72,-23.33,50.0,0.0
73,-21.0,52.0,0.0
74,-18.67,54.0,0.0
75,-16.33,56.0,0.0
76,-14.0,58.0,0.0
77,-11.67,60.0,0.0
78,-9.33,62.0,0.0
79,-7.0,64.0,0.0
80,-4.67,66.0,0.0
81,-2.33,68.0,0.0
82,0.0,70.0,0.0
83,2.33,68.0,0.0
84,4.67,66.0,0.0
85,7.0,64.0,0.0
86,9.33,62.0,0.0
87,11.67,60.0,0.0
88,14.0,58.0,0.0
89,16.33,56.0,0.0
90,18.67,54.0,0.0
91,21.0,52.0,0.0
92,23.33,50.0,0.0
93,25.67,48.0,0.0
94,28.0,46.0,0.0
95,30.33,44.0,0.0
96,32.67,42.0,0.0
97,35.0,40.0,0.0
98,10.0,3.33,0.0
99,10.0,6.67,0.0
100,10.0,10.0,0.0
101,10.0,13.33,0.0
102,10.0,16.67,0.0
103,10.0,20.0,0.0
104,6.67,20.0,0.0
105,3.33,20.0,0.0
106,0.0,20.0,0.0
107,-3.33,20.0,0.0
108,-6.67,20.0,0.0
109,-10.0,20.0,0.0
110,-10.0,16.67,0.0
111,-10.0,13.33,0.0
112,-10.0,10.0,0.0
113,-10.0,6.67,0.0
114,-10.0,3.33,0.0
115,-25.0,20.0,0.0
116,-21.67,20.0,0.0
117,-18.33,20.0,0.0
118,-15.0,20.0,0.0
119,-15.0,23.33,0.0
120,-15.0,26.67,0.0
121,-15.0,30.0,0.0
122,-18.33,30.0,0.0
123,-21.67,30.0,0.0
124,-25.0,30.0,0.0
125,-25.0,26.67,0.0
126,-25.0,23.33,0.0
127,15.0,20.0,0.0
128,18.33,20.0,0.0
129,21.67,20.0,0.0
130,25.0,20.0,0.0
131,25.0,23.33,0.0
132,25.0,26.67,0.0
133,25.0,30.0,0.0
134,21.67,30.0,0.0
135,18.33,30.0,0.0
136,15.0,30.0,0.0
137,15.0,26.67,0.0
138,15.0,23.33,0.0
139,-22.78,69.23,0.0
140,1.98,53.92,0.0
141,25.09,55.5,0.0
142,-4.66,45.28,0.0
143,-9.94,60.32,0.0
144,6.95,58.66,0.0
145,10.26,62.49,0.0
146,28.19,66.1,0.0
147,19.45,61.45,0.0
148,26.11,61.36,0.0
149,28.89,54.77,0.0
150,10.31,62.25,0.0
151,-7.27,52.91,0.0
152,10.61,44.14,0.0
153,4.23,44.03,0.0
154,24.63,57.82,0.0
155,-0.32,50.36,0.0
156,0.32,51.94,0.0
157,-2.81,60.53,0.0
158,-17.04,47.5,0.0
159,-1.51,52.98,0.0
160,23.81,54.14,0.0
161,-3.38,56.75,0.0
162,-23.05,64.24,0.0
163,-5.53,48.28,0.0
164,-15.92,43.51,0.0
165,-15.2,62.52,0.0
166,1.59,64.54,0.0
167,-23.83,50.12,0.0
168,13.65,62.83,0.0
169,-17.04,44.33,0.0
170,-3.08,50.05,0.0
171,-10.54,51.87,0.0
172,23.46,64.61,0.0
173,-5.1,56.44,0.0
174,25.2,42.08,0.0
175,-8.19,50.37,0.0
176,-26.72,48.08,0.0
177,20.64,51.88,0.0
178,-3.36,61.14,0.0
179,22.66,59.38,0.0
180,18.97,51.75,0.0
181,24.33,57.84,0.0
182,6.86,69.04,0.0
183,-1.21,63.49,0.0
184,-11.43,55.68,0.0
185,-6.82,51.82,0.0
186,-13.29,50.83,0.0
187,-0.7,54.29,0.0
188,28.47,69.2,0.0
189,14.46,46.56,0.0
190,14.24,55.62,0.0
191,12.74,40.16,0.0
192,17.6,42.63,0.0
193,-28.43,42.15,0.0
194,0.1,63.71,0.0
195,8.74,40.2,0.0
196,23.56,46.53,0.0
197,-25.46,60.53,0.0
198,26.91,55.49,0.0
199,24.91,56.18,0.0
200,-28.59,59.59,0.0
201,-29.22,54.15,0.0
202,-1.64,69.96,0.0
203,-28.08,48.81,0.0
204,3.96,55.87,0.0
205,-7.25,42.59,0.0
206,-12.6,65.37,0.0
207,20.96,50.72,0.0
208,28.22,69.61,0.0
209,8.13,44.08,0.0
210,-25.54,49.25,0.0
211,-10.54,56.36,0.0
212,-14.66,55.64,0.0
213,18.66,62.38,0.0
214,11.52,42.27,0.0
215,-14.17,64.28,0.0
216,6.14,41.21,0.0
217,-2.89,57.1,0.0
218,-29.55,51.03,0.0
219,18.27,60.87,0.0
220,-20.62,63.04,0.0
221,-14.33,59.26,0.0
222,12.92,69.93,0.0
223,-24.77,61.26,0.0
224,15.53,40.46,0.0
225,-2.39,66.28,0.0
226,-10.39,50.62,0.0
227,17.64,66.56,0.0
228,15.63,62.77,0.0
229,0.97,53.71,0.0
230,15.04,53.58,0.0
231,-29.57,41.09,0.0
232,-10.09,60.56,0.0
233,-4.33,46.42,0.0
234,-7.48,50.6,0.0
235,2.81,46.85,0.0
236,19.24,41.07,0.0
237,-16.04,53.91,0.0
238,-1.02,52.09,0.0
239,17.34,47.68,0.0
240,4.06,69.35,0.0
241,28.26,65.11,0.0
242,-19.95,48.92,0.0
243,24.59,49.81,0.0
244,-9.91,58.22,0.0
245,18.07,55.76,0.0
246,-7.73,51.57,0.0
247,3.91,59.0,0.0
248,-15.12,51.34,0.0
249,2.24,55.15,0.0
250,10.85,43.03,0.0
251,-21.03,60.01,0.0
252,17.76,52.83,0.0
253,25.34,42.63,0.0
254,-9.37,62.96,0.0
255,-22.44,60.21,0.0
256,16.97,60.51,0.0
257,16.45,64.33,0.0
258,-13.33,61.49,0.0
259,-7.43,41.52,0.0
260,21.85,45.91,0.0
261,21.88,58.83,0.0
262,-20.41,63.9,0.0
263,-3.5,61.67,0.0
264,-17.12,61.39,0.0
265,9.06,40.68,0.0
266,1.85,55.61,0.0
267,28.58,43.11,0.0
268,10.89,65.36,0.0
269,-26.05,41.53,0.0
270,-17.31,49.03,0.0
271,-3.5,61.16,0.0
272,10.99,52.54,0.0
273,-27.98,41.69,0.0
274,-28.9,68.01,0.0
275,13.86,44.75,0.0
276,-25.74,51.5,0.0
277,-1.39,68.15,0.0
278,-5.23,67.93,0.0
279,7.5,50.85,0.0
280,-27.18,44.01,0.0
281,-27.55,46.74,0.0
282,3.6,43.56,0.0
